,0
timestamp,100.0
renewable_biomass,10.261042362930178
renewable_hydro,10.261042362930178
renewable_solar,10.261042362930178
renewable_wind,10.261042362930178
renewable_geothermal,10.261042362930178
renewable_otherrenewable,10.261042362930178
renewable,10.261042362930178
nonrenewable_coal,10.261042362930178
nonrenewable_gas,10.261042362930178
nonrenewable_nuclear,10.261042362930178
nonrenewable_oil,10.261042362930178
nonrenewable,10.261042362930178
hydropumpedstorage,10.261042362930178
unknown,10.261042362930178
region_id,0.0
country_id,0.0
month,10.261042362930178
day,10.261042362930178
time_diff,10.25803149369223
